iter	Passed	Remaining
201	276	1093
202	277	1088
203	277	1084
204	278	1079
205	278	1075
206	279	1070
207	280	1066
208	280	1061
209	281	1057
210	281	1054
211	282	1050
212	283	1046
213	283	1042
214	284	1038
215	285	1034
216	285	1031
217	286	1027
218	286	1023
219	287	1019
220	288	1016
221	288	1012
222	289	1008
223	289	1004
224	290	1000
225	291	996
226	291	993
227	292	989
228	292	985
229	293	981
230	293	978
231	296	981
232	297	978
233	297	974
234	298	971
235	298	967
236	299	964
237	300	960
238	300	957
239	301	954
240	301	951
241	302	947
242	303	944
243	303	940
244	304	937
245	304	933
246	305	930
247	305	926
248	306	923
249	306	920
250	307	916
251	307	913
252	308	910
253	308	907
254	309	904
255	310	901
256	310	898
257	311	895
258	311	892
259	312	889
260	312	886
261	313	883
262	314	880
263	314	877
264	315	873
265	315	870
266	316	867
267	316	864
268	317	861
269	317	858
270	318	855
271	318	852
272	319	849
273	319	847
274	320	844
275	320	841
276	321	838
277	321	836
278	322	833
279	323	830
280	323	828
281	324	825
282	324	823
283	325	820
284	326	818
285	326	816
286	327	813
287	328	811
288	328	809
289	329	806
290	330	804
291	330	801
292	331	799
293	332	797
294	332	795
295	333	793
296	334	791
297	335	789
298	335	787
299	336	784
300	336	782
301	337	780
302	338	778
303	339	776
304	339	774
305	340	771
306	340	769
307	341	767
308	341	764
309	342	762
310	343	760
311	343	757
312	344	755
313	344	753
314	345	751
315	346	749
316	346	746
317	347	744
318	347	742
319	348	740
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	723
328	353	721
329	354	719
330	354	717
331	355	714
332	355	712
333	356	710
334	358	711
335	359	709
336	359	707
337	360	705
338	360	703
339	361	701
340	361	699
341	362	697
342	363	695
343	363	693
344	364	691
345	365	689
346	365	687
347	366	685
348	366	684
349	367	682
350	367	680
351	368	678
352	369	676
353	369	674
354	370	672
355	370	670
356	371	668
357	371	667
358	372	665
359	373	663
360	373	661
361	374	659
362	374	657
363	375	656
364	376	654
365	376	652
366	377	650
367	377	648
368	378	646
369	378	645
370	379	643
371	379	641
372	380	639
373	380	637
374	381	635
375	382	634
376	382	632
377	383	630
378	383	628
379	384	627
380	384	625
381	385	623
382	385	621
383	386	619
384	386	618
385	387	616
386	391	620
387	392	619
388	393	617
389	393	615
390	394	614
391	395	613
392	396	612
393	397	611
394	397	609
395	398	607
396	399	606
397	399	604
398	400	603
399	401	601
400	401	600
401	402	598
402	402	596
403	403	595
404	403	593
405	404	591
406	405	590
407	405	588
408	406	586
409	406	585
410	407	583
411	407	582
412	408	580
413	409	579
414	409	577
415	410	576
416	410	574
417	411	572
418	411	571
419	412	569
420	418	575
421	419	574
422	420	572
423	420	571
424	421	570
425	421	568
426	422	566
427	423	565
428	423	563
429	424	562
430	424	560
431	425	559
432	425	557
433	426	556
434	426	554
435	427	553
436	428	551
437	428	549
438	429	548
439	429	546
440	430	545
441	430	543
442	431	542
443	431	540
444	432	539
445	432	537
446	433	536
447	434	534
448	434	533
449	435	531
450	435	530
451	436	528
452	436	527
453	437	525
454	437	524
455	438	522
456	438	521
457	439	520
458	439	518
459	440	517
460	441	515
461	441	514
462	442	512
463	442	511
464	443	509
465	443	508
466	444	507
467	445	506
468	445	504
469	446	503
470	446	501
471	447	500
472	447	498
473	448	497
474	448	496
475	449	494
476	449	493
477	450	491
478	451	490
479	451	489
480	452	487
481	452	486
482	453	485
483	453	483
484	454	482
485	455	481
486	455	479
487	456	478
488	456	477
489	457	475
490	457	474
491	458	473
492	458	471
